job_duty,job_name
"熟练掌握C++，熟悉lua或者其他脚本语言；
具有至少2年的UE4 gameplay相关开发经验；
有3C、AI、动画或者其他模块深度优化经验者优先；
有基于UE4的项目优化经验者优先；
有UE项目工具开发经验者预先；
对FPS游戏熟悉和热爱者优先；
有优秀的学习能力，善于沟通，热爱游戏事业。
",15571-《UE4写实军事大世界射击手游》客户端开发工程师（成都）
"5年以上游戏相关或移动平台开发经验；
熟悉3D图形学，有良好的数学和算法基础；
熟练掌握动画，物理技术
有移动游戏优化经验，掌握移动端图形优化技巧；
责任心强，善于沟通，对游戏前沿技术有热情；
熟悉商业游戏引擎源代码者优先；
对FPS游戏熟悉和热爱优先。
",15571-高级游戏引擎开发工程师 （ 动画物理技术方向）（深圳）
"聪明好学,具备较强的分析和解决问题能力；
性格开朗,易于沟通合作,具备良好的协作意识；
精通Go/C/C++/的一种或者多种，编程基础扎实；
熟悉Linux系统、shell命令、调试工具等；
熟悉TCP/IP原理，有网络编程经验；
熟悉微服务框架的优先。",15571-《UE4写实军事大世界射击手游》资深后台开发（深圳）
"1、计算机相关专业本科及以上学历，3 年以上开发经验；
2、精通Java、Go中至少一种开发语言；
3、具备大型项目开发经验，熟悉通信、多线程、高并发处理、内存管理等技术，熟悉分布式业务系统的设计与开发，具备2 年以上基于 Spring Cloud、Dubbo 等主流框架开发经验；
4、熟悉分布式缓存、消息中间件、RPC 框架、负载均衡、安全防御等技术，包括Kafka、Redis、Ng
5、熟练MySql、LevelDB、MongoDB等数据库，具备优秀的数据建模能力和数据库分库分表设计能力；
6、熟悉区块链原理，参与过数字钱包、浏览器等区块链应用开发，或有相关开源项目者优先；
7、具备良好的团队协作精神和执行力，较强的分析问题和解决问题能力；
8、熟悉微服务框架，有相关项目实施经验者优先；",27141-web3区块链中后台研发工程师
"1. 本科以上学历, 计算机软件及相关专业
2. 3年以上后台开发工作经验 
3. 软件知识结构全面, 基本功扎实
4. 深入了解至少一门编程语言, 如 Golang, Java
5. 熟悉Linux开发环境, 了解常用 Linux 命令
6. 熟悉至少一种数据库/数据存储类组件使用, 如 mysql, es, redis 等
7. 熟悉TCP/IP, HTTP等通信协议, 具有Socket网络编程和大规模并发服务器开发经验优先;
8. 对事情有非常清晰的思考和分析能力
9. 具备良好的沟通能力和团队协作能力
10. 有责任心, 能承受一定强度的工作压力
备注：此岗位为腾讯集团旗下全资子公司编制岗位",CSIG15-智能平台产品部-后台开发工程师（CSIG全资子公司）
"3年以上游戏开发经验，有游戏引擎开发经验者更佳； 
1、熟悉常见光照模型和图形学算法； 
2、关注图形学前沿技术，关注图形学在游戏中应用； 
3、熟悉UE4引擎以及渲染PBR管线和相关工具、shader编程、材质编辑器；
4、扎实的数学和算法基础，熟悉GPU调试/调优工具; 
5、有ACT/RPG/MOBA/FPS游戏开发经验者优先；

",15612-UE4引擎开发组长（北京/上海/深圳）
"1. 两年以上go语言开发经验；
2. 对数据结构和算法设计有较为深刻的理解，关注代码性能和优化；
3. 熟悉web平台，有独立项目开发经验，熟悉各种sql/nosql数据库应用场景，掌握memcache,redis等缓存工具；
4. 具有RPC/分布式/多线程/mq编程经验，熟悉tcp/ip，http等通讯协议；
5. 严谨的工作态度，对技术/业务细节有充分把控；
6. 工作有激情，有责任感，具备良好的沟通技巧和团队合作精神；

注：此岗位为腾讯集团旗下全资子公司编制

",35948-go研发工程师（CSIG全资子公司）
"计算机相关专业本科以上学历, 2年以上相关工作经验；
良好的C++编程功底，良好的数据结构、算法功底； 
熟悉常用设计模式、多线程、网络、界面开发；
对计算机图形学、图像处理、物理模拟、音频处理、机器学习有经验者优先；
熟悉unity或unreal引擎，有过一款及以上的手游开发经验者优先；
能坚持编写高质量、高效率代码； 
优秀的分析解决问题能力与优秀的沟通协作能力。",53625-游戏客户端开发工程师（上海）
"本科或以上计算机科学或相关专业；
至少参与过一款3D游戏引擎的研发维护工作 对游戏研发相关技术有系统的掌握并保持学习和关注；
具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力； 
扎实的算法和数学基础, 系统全面的软件研发领域知识；
丰富的Unity3D或UE4引擎实践经验, 了解其关键技术实现原理, 并有实际的二次开发维护经验； 
出色的学习和技术研究应用能力, 良好的团队协作能力, 善于沟通, 敬业专注；
熟悉性能和内存优化，测试驱动开发；
热爱游戏行业，对技术有极客精神。",15605-资深客户端开发工程师（深圳/北京/上海）
"1.本科及以上学历，计算机科学与技术相关专业，从事Web 前端开发8年及以上工作经验；
2.具备较好的计算机基础，精通Javasript/HTML/CSS等前端开发技术，对HTTP、TCP/IP协议及web服务器等有深入理解；
3.拥有良好的安全意识，熟悉常见的网络安全攻防策略；
4.熟悉至少一门服务器端编程语言 Node\Go等，精通react或者vue开发框架及常用生态配套；
5.熟练掌握 MySQL, Redis 或 MongoDB 等相关数据库；
6.熟悉 Web 性能优化，有多端Web 开发调试及优化经验；
7.对前端工程实践有深入理解以及落地经验，有大型web项目落地经验优先；
8.具有良好的英文沟通和书写能力，有良好的团队合作精神及抗压能力；主动学习并热爱分享、有开源项目维护经验优先；",54876-海外智能广告平台高级前端开发
"1、 熟悉Linux系统、TCP/IP网络协议等计算机基础知识；
2、 熟悉Golang语言开发，有独立解决各种系统问题的能力，对Golang语言有深刻的理解者优先考虑；
3、 有Kubernetes/Docker项目经验的同学优先， 熟悉源码和原理者加分；
4、 有Docker/Kubernetes/lstio二次开发，扩展幵发者、社区经验者优先；
5、 参与过边缘容器研发，或是有边缘容器使用和落地实践者优先；
6、 对linux内核有一定了解，知道一般问题的定位方向和手段，具备Linux内核开发能力者优先；
7、 有良好的沟通能力与自我驱动能力，愿意投身云原生边缘计算领域的浪潮中。

注：此岗位为腾讯集团旗下全资子公司编制岗位",22989-腾讯云容器开发工程师（西安/武汉）(全资子公司)
"1、五年以上手机游戏开发经验，至少参与过一款上线游戏项目，对游戏研发技术领域有较为全面的了解和关注；
2、精通C\C++，数据结构和算法，具备扎实的编程基础和良好的软件工程能力；
3、至少熟悉一款商业引擎，unity，ue4皆可，有产品本地化或国际化工作经验；
4、熟悉主流的前后端相关的开发框架使用及原理；
5、出色的学习能力，良好的问题分析解决能力，责任心强，有较高的团队协作和任务跟进能力，善于沟通，使命必达；
6、热爱游戏，关注用户体验，熟悉supercell游戏、英文流利者加分。",21226-技术中心负责人
"精通一种或几种开发语言：PHP、C++、Java、python、Go； 
熟悉常用数据结构和算法，精通多线程编程和网络编程；
精通Unix/Linux操作系统、良好的编码规范；
熟悉MYSQL、mongodb或其他大型数据库，能够快速根据需求完成高性能数据库设计；
具有良好的学习能力、沟通能力、服务理念和合作精神； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长；
有以下经验者优先： 具有hadoop、spark、presto、kafka等大数据、运维自动化研发经验； 
有运维自动化、监控系统、发布系统、运营支撑系统等开发经验； 有大型分布式系统设计与开发经验。

注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",22989-存储后台开发工程师（西安）（CSIG全资子公司)
"1、计算机相关专业本科及以上学历；
2、精通常用数据结构和算法，熟练掌握C++或Python语言；
3、熟悉Linux系统，多线程编程，网络编程；
4、有3年以上分布式高性能服务的开发经验，有Tars框架开发经验者优先；
5、有良好的系统设计能力，较强的学习能力，重视代码规范及质量。 通过腾讯云技术认证或同等资格认证的优先录取。   
注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",22989-腾讯云API高级研发工程师(CSIG全资子公司)（西安）
